strategy,asset,target_utc,block,block_hash,block_utc,status,start_quantity,end_quantity,end_usd,net_return_fraction,versus_hold_usd,gas_usd,accounting_usd,route,note,token_return_fraction,best_strategy,best_asset,versus_best_usd,single_vault_strategy,single_vault_status,versus_single_vault_usd
curve-tricrypto2-gauge,ETH,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,2.707209549056973607,2.933055237240305443,8562.453378591816889264312100256494,-0.1437546621408183110735687899743506,659.310179799156585149750894648088,520.102032984568866417315017913948,,"[""approval"", ""CRV -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""unwrap WETH"", ""unwrap WETH""]",compounding skipped; rewards retained: proceeds cannot cover the deposit and gas,0.083423792687936799834680257743646597201277370355554668296336294454119915052033784189696666376841820,cash-USD,cash,-1437.546621408183110735687899743506,yearn-weth-v2,complete,717.487636408536442901467695140372
curve-tricrypto2-gauge,ETH,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,2.707209549056973607,2.810093442953107434,9226.3877891401051515213028428788538,-0.07736122108598948484786971571211462,337.7989812840240132579291735352539,401.351814652956441357551351031084,,"[""approval"", ""CRV -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""unwrap WETH"", ""unwrap WETH""]",,0.038003668364708705057109250602971090879556369367647672654282885356256639010136181836397486849870945,yearn-usdc-v2,USD,-835.9308235816448179491811571211462,yearn-weth-v2,complete,374.1302029261429500905035099689657
curve-tricrypto2-gauge,CRV,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,1868.0817199810281463,2318.560233735843365014,7640.993182204519246227574841772728952,-0.2359006817795480753772425158227271048,1484.586512891228690644968899520180552,737.5911949887112849726722570097998,,"[""approval"", ""USDT -> CRV (Uniswap V3 fee=3000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",compounding skipped; rewards retained: proceeds cannot cover the deposit and gas,0.241144971837415220700403867638767576885103753874839956213389996536230139329947977304171890860334348,cash-USD,cash,-2359.006817795480753772425158227271048,,not in catalog,
curve-tricrypto2-gauge,CRV,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,1868.0817199810281463,3395.929106971402166183,8188.3140064066262470858747374738051628,-0.18116859935933737529141252625261948372,3683.9679994681343999900769834725240828,593.940462740597387789772061535219,,"[""approval"", ""USDT -> CRV (Uniswap V3 fee=3000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",compounding skipped; rewards retained: proceeds cannot cover the deposit and gas,0.817869673820206604066755537758877224651620831974284606720571308690320418985144984768176454895297927,cash-USD,cash,-1811.6859935933737529141252625261948372,,not in catalog,
curve-tricrypto2-gauge,CRV,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,1868.0817199810281463,3389.427273266185272926,8911.432810594047361142030915195807094,-0.1088567189405952638857969084804192906,3999.899566138880672730458858254952394,513.766439787566988323516586742977,,"[""approval"", ""USDT -> WETH (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""WETH -> CRV (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",,0.814389187053662512760760818986693760569804053471618549503353913352026076302185064643847642830501077,yearn-usdc-v2,USD,-1150.885802127702608328453084804192906,,not in catalog,
curve-eth-steth-lp,USD,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,9986.63631,7094.837698,7102.6025657339645632487930,-0.2897397434266035436751207,-2894.9635094495599954540420,258.2642711751699815327883347825914,,"[""wrap ETH"", ""approval"", ""WETH -> USDC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",,-0.2895668293341504493017829744117316313885070277481647872285438218787002167299311613761971472054137516,cash-USD,cash,-2897.3974342660354367512070,yearn-usdc-v2,complete,-2836.4518690313439386409615
curve-eth-steth-lp,USD,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,9986.63631,7797.512567,7801.4158259624434797106404,-0.21985841740375565202893596,-2190.2195689824966264437316,200.729802749276723894895611627805,,"[""wrap ETH"", ""approval"", ""WETH -> USDC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",,-0.2192053134855774075946098011052932796748658207620259278271444331790230178112894550777928549597897593,cash-USD,cash,-2198.5841740375565202893596,yearn-usdc-v2,complete,-2163.8142566918599256945304
curve-eth-steth-lp,USD,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,9986.63631,8824.281509,8890.815447844979164113892,-0.1109184552155020835886108,-1171.118805544395584530388,159.8510224063878003064266694221012,,"[""wrap ETH"", ""approval"", ""WETH -> USDC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",,-0.1163910214529480547389634538518605570407519926997321483513601588240875871046915094878427589399217843,yearn-usdc-v2,USD,-1171.503164876770805356592,yearn-usdc-v2,complete,-1171.503164876770805356592
curve-eth-steth-lp,BTC,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,0.21530188,0.18373969,7079.0988840141981825155,-0.29209011159858018174845,-1216.0239521795431663905,248.662185505388163019256666724933,,"[""wrap ETH"", ""approval"", ""WETH -> WBTC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",,-0.1465950506330924746221444977628620799781218817039591108075786426017273978285744648397868146808564793,cash-USD,cash,-2920.9011159858018174845,yearn-wbtc-v2,complete,-1145.8801121184423274205
curve-eth-steth-lp,BTC,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,0.21530188,0.18024847,7787.2652002658598933278,-0.22127347997341401066722,-1514.4106346292498119034,195.590204644240153088279725232289,,"[""wrap ETH"", ""approval"", ""WETH -> WBTC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",,-0.1628105151706060346523681075148995447694186413978363774621940133546441861074320391442935844313110503,cash-USD,cash,-2212.7347997341401066722,yearn-wbtc-v2,complete,-1473.3241994539341189760
curve-eth-steth-lp,BTC,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,0.21530188,0.19354631,8818.5300317807512828632,-0.11814699682192487171368,-991.2467326476457194504,153.2761001978301236788414486594212,,"[""wrap ETH"", ""approval"", ""WETH -> WBTC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",,-0.1010468185414823131131042608638624056603685950164485326370582551346044911451771809888515604229744766,yearn-usdc-v2,USD,-1243.788580940998686607284,yearn-wbtc-v2,complete,-962.7097807961486790600
curve-eth-steth-lp,ETH,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,2.707209549056973607,2.684475193174844524,7204.7399330272002198418520687848552,-0.27952600669727997801581479312151448,-61.0156957650675390488349366851034,97.4205861200936184970557992738126,,[],,-0.0083977082195385811533273884577424407672522752587652720338241109262195552328724299518372941047826487,cash-USD,cash,-2795.2600669727997801581479312151448,yearn-weth-v2,complete,19.8478856077367501120338649261002
curve-eth-steth-lp,ETH,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,2.707209549056973607,2.699443558317510344,7880.471981148700889768401746006352,-0.2119528018851299110231598253993648,-22.671217643959414346159459602054,77.575762970793803746515458401291,,[],,-0.0028686330329207281578464749910576726351241721499083634547754677022655774585884958328529891956649183,cash-USD,cash,-2119.528018851299110231598253993648,yearn-weth-v2,complete,35.506238965420443405557340890230
curve-eth-steth-lp,ETH,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,2.707209549056973607,2.711082147765796445,8901.3037222048987569509000985751365,-0.10986962777951012430490999014248635,12.7149143488176186875264292315366,62.3028827220634956316925678950698,,[],,0.001430476155852735806700412713516999610480569738997077886915464596095988385522502980594605026464198,yearn-usdc-v2,USD,-1161.0148905168512125195839014248635,yearn-weth-v2,complete,49.0461359909365555201007656652484
curve-eth-steth-lp,CRV,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,1868.0817199810281463,2111.298358907557884523,6957.945767929627768000115705270853564,-0.3042054232070372231999884294729146436,801.539098616337212417509763018305164,246.2425070928395758367683949706778,,"[""wrap ETH"", ""approval"", ""WETH -> CRV (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",,0.130195931112157018687809396930436900721907111192960790868689879688024076542064655727284592530780137,cash-USD,cash,-3042.054232070372231999884294729146436,,not in catalog,
curve-eth-steth-lp,CRV,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,1868.0817199810281463,3139.556011244419261849,7570.1434426284939857096100016308137684,-0.24298565573715060142903899983691862316,3065.7974356900021386138122476295326884,193.450046347967600822747568670127,,"[""wrap ETH"", ""approval"", ""WETH -> CRV (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",,0.680630979717688124971262845187084275629620267365399641670392902535229089318649681652330313709113103,cash-USD,cash,-2429.8565573715060142903899983691862316,,not in catalog,
