strategy,asset,target_utc,block,block_hash,block_utc,status,start_quantity,end_quantity,end_usd,net_return_fraction,versus_hold_usd,gas_usd,accounting_usd,route,note
curve-eth-steth-gauge,USD,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,9986.63631,6299.789599,6306.6843350137399797907715,-0.36933156649862600202092285,-3690.8817401697845789120635,1116.912577561825826825938447026664,,"[""approval"", ""CRV -> USDC (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""LDO -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""WETH -> USDC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""wrap ETH"", ""approval"", ""WETH -> USDC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",compounding skipped; rewards retained: proceeds cannot cover the deposit and gas
curve-eth-steth-gauge,USD,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,9986.63631,7199.771278,7203.3753211518289652945736,-0.27966246788481710347054264,-2788.2600737931111408597984,863.320872228551701689290327298848,,"[""approval"", ""CRV -> WETH (Uniswap V3 fee=3000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""WETH -> USDC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""LDO -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""WETH -> USDC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""wrap ETH"", ""approval"", ""WETH -> USDC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",compounding skipped; rewards retained: proceeds cannot cover the deposit and gas
curve-eth-steth-gauge,USD,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,9986.63631,8476.017958,8539.926034809578715488504,-0.1460073965190421284511496,-1522.008218579796033155776,598.8031049054286657830783618119752,,"[""approval"", ""CRV -> USDC (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""LDO -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""WETH -> USDC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""wrap ETH"", ""approval"", ""WETH -> USDC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",
curve-eth-steth-gauge,BTC,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,0.21530188,0.16164358,6227.7828311676141668210,-0.3772217168832385833179,-2067.3400050261271820850,1163.2669822713264559277745628446352,,"[""approval"", ""CRV -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""WETH -> WBTC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""LDO -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""WETH -> WBTC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""wrap ETH"", ""approval"", ""WETH -> WBTC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",compounding skipped; rewards retained: proceeds cannot cover the deposit and gas
curve-eth-steth-gauge,BTC,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,0.21530188,0.16654785,7195.3580326318353417090,-0.2804641967368164658291,-2106.3178022632743635222,852.327206163484032701568971104832,,"[""approval"", ""CRV -> WETH (Uniswap V3 fee=3000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""WETH -> WBTC (Uniswap V3 fee=3000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""LDO -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""WETH -> WBTC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""wrap ETH"", ""approval"", ""WETH -> WBTC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",compounding skipped; rewards retained: proceeds cannot cover the deposit and gas
curve-eth-steth-gauge,BTC,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,0.21530188,0.18539219,8447.0047254974950448568,-0.15529952745025049551432,-1362.7720389309019574568,613.7241688339636584649928710007124,,"[""approval"", ""CRV -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""WETH -> WBTC (Uniswap V3 fee=100 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""LDO -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""WETH -> WBTC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""wrap ETH"", ""approval"", ""WETH -> WBTC (Uniswap V3 fee=500 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",
curve-eth-steth-gauge,ETH,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,2.707209549056973607,2.404234376588507704,6452.6144497084846652433518904754192,-0.35473855502915153347566481095245808,-813.1411790837830936473351149945394,913.0761312895839023146723986489156,,"[""approval"", ""CRV -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""unwrap WETH"", ""approval"", ""LDO -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""unwrap WETH""]",compounding skipped; rewards retained: proceeds cannot cover the deposit and gas
curve-eth-steth-gauge,ETH,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,complete,2.707209549056973607,2.51899697224906827,7353.69517145219002301864964167166,-0.264630482854780997698135035832834,-549.448027340470281095911563936746,669.535768928781189027282583641034,,"[""approval"", ""CRV -> WETH (Uniswap V3 fee=3000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""unwrap WETH"", ""approval"", ""LDO -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""unwrap WETH""]",compounding skipped; rewards retained: proceeds cannot cover the deposit and gas
curve-eth-steth-gauge,ETH,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,complete,2.707209549056973607,2.609563620676252679,8567.9876536381049705964787542781503,-0.14320123463618950294035212457218497,-320.6011542179761676668949150654496,484.9722746784896999558252289872082,,"[""approval"", ""CRV -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""unwrap WETH"", ""approval"", ""LDO -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""unwrap WETH""]",
curve-eth-steth-gauge,CRV,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,complete,1868.0817199810281463,1896.346710048904371137,6249.556113205774191318154265771051316,-0.3750443886794225808681845734228948684,93.149443892483635735548323518502916,1019.9834669526507485729685327724588,,"[""approval"", ""LDO -> WETH (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""approval"", ""WETH -> CRV (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)"", ""wrap ETH"", ""approval"", ""WETH -> CRV (Uniswap V3 fee=10000 router=0xE592427A0AEce92De3Edee1F18E0157C05861564)""]",compounding skipped; rewards retained: proceeds cannot cover the deposit and gas
